Clave,Fecha,Casos positivos
05-011,200630,6
05-011,200903,8
05-011,200904,8
05-011,200905,7
05-011,200906,7
05-011,200907,7
05-011,200908,7
05-011,200909,7
05-011,200910,8
05-011,200911,7
05-011,200912,6
05-011,201004,6
05-011,201006,6
05-011,201007,6
05-011,201008,6
05-011,201009,6
05-011,201010,6
05-011,201011,6
05-011,201012,6
05-011,201013,6
05-011,201128,6
05-011,201129,8
05-011,201130,7
05-011,201201,11
05-011,201202,12
05-011,201203,12
05-011,201205,26
05-011,201206,13
05-011,201207,15
05-011,201208,16
05-011,201209,15
05-011,201210,15
05-011,201211,16
05-011,201212,14
05-011,201214,14
05-011,201215,13
05-011,201216,12
05-011,201217,15
05-011,201218,15
05-011,201219,15
05-011,201220,13
05-011,201221,13
05-011,201222,16
05-011,201223,16
05-011,201224,15
05-011,201225,17
05-011,201226,15
05-011,201227,17
05-011,201228,16
05-011,201229,21
05-011,201230,21
05-011,201231,23
05-011,210101,24
05-011,210102,24
05-011,210103,23
05-029,200629,8
05-029,200630,7
05-029,200721,8
05-029,200722,10
05-029,200723,9
05-029,200724,9
05-029,200726,8
05-029,200727,9
05-029,200728,8
05-029,200729,7
05-029,200730,7
05-029,200731,6
05-029,200801,6
05-029,200802,7
05-029,200803,8
05-029,200804,6
05-029,200807,6
05-029,200808,6
05-029,200817,6
05-029,200820,7
05-029,200821,7
05-029,200822,7
05-029,200823,7
05-029,200824,7
05-029,200825,7
05-029,200826,9
05-029,200827,10
05-029,200828,10
05-029,200829,9
05-029,200830,9
05-029,200831,6
05-029,200923,7
05-029,200924,6
05-029,201002,6
05-029,201003,6
05-029,201004,6
05-029,201005,6
05-029,201008,6
05-029,201020,8
05-029,201021,9
05-029,201022,9
05-029,201023,8
05-029,201028,8
05-029,201029,9
05-029,201030,7
05-029,201031,8
05-029,201101,7
05-029,201102,6
05-029,201105,7
05-029,201127,6
05-029,201128,8
05-029,201129,9
05-029,201130,10
05-029,201201,13
05-029,201202,13
05-029,201203,15
05-029,201205,35
05-029,201206,17
05-029,201207,17
05-029,201208,22
05-029,201209,24
05-029,201210,28
05-029,201211,29
05-029,201212,37
05-029,201214,37
05-029,201215,42
05-029,201216,40
05-029,201217,40
05-029,201218,47
05-029,201219,46
05-029,201220,41
05-029,201221,39
05-029,201222,45
05-029,201223,44
05-029,201224,41
05-029,201225,44
05-029,201226,38
05-029,201227,37
05-029,201228,31
05-029,201229,32
05-029,201230,31
05-029,201231,30
05-029,210101,26
05-029,210102,23
05-029,210103,17
05-031,200710,6
05-031,200711,6
05-031,200714,6
05-031,200813,6
05-031,200830,6
05-031,200831,6
05-031,200901,6
05-031,200902,10
05-031,200903,9
05-031,200904,8
05-031,200905,8
05-031,200906,10
05-031,200907,10
05-031,200908,11
05-031,200909,12
05-031,200910,13
05-031,200911,11
05-031,200912,13
05-031,200913,11
05-031,200914,9
05-031,200915,10
05-031,200916,9
05-031,200917,7
05-031,200918,9
05-031,200919,9
05-031,200920,8
05-031,200921,6
05-031,200922,6
05-031,200924,11
05-031,200925,10
05-031,200926,9
05-031,200927,9
05-031,200928,9
05-031,200929,9
05-031,200930,9
05-031,201001,9
05-031,201002,11
05-031,201003,11
05-031,201004,34
05-031,201005,36
05-031,201006,35
05-031,201007,37
05-031,201008,35
05-031,201009,36
05-031,201010,43
05-031,201011,44
05-031,201012,40
05-031,201013,32
05-031,201014,28
05-031,201015,26
05-031,201016,37
05-031,201017,33
05-031,201018,28
05-031,201019,31
05-031,201020,31
05-031,201021,28
05-031,201022,24
05-031,201023,18
05-031,201024,14
05-031,201025,12
05-031,201026,7
05-031,201028,12
05-031,201029,12
05-031,201030,12
05-031,201031,15
05-031,201101,14
05-031,201102,14
05-031,201103,12
05-031,201104,12
05-031,201105,9
05-031,201106,7
05-031,201125,7
05-031,201126,6
05-031,201127,6
05-031,201128,8
05-031,201129,7
05-031,201130,8
05-031,201201,7
05-031,201202,11
05-031,201203,12
05-031,201205,31
05-031,201206,14
05-031,201207,16
05-031,201208,17
05-031,201209,17
05-031,201210,23
05-031,201211,24
05-031,201212,26
05-031,201214,25
05-031,201215,26
05-031,201216,28
05-031,201217,38
05-031,201218,37
05-031,201219,34
05-031,201220,30
05-031,201221,29
05-031,201222,30
05-031,201223,32
05-031,201224,30
05-031,201225,29
05-031,201226,30
05-031,201227,31
05-031,201228,28
05-031,201229,22
05-031,201230,23
05-031,201231,20
05-031,210101,20
05-031,210102,22
05-031,210103,20
05-032,200710,6
05-032,200711,6
05-032,200712,6
05-032,200720,7
05-032,200721,7
05-032,200722,6
05-032,200923,7
05-032,200924,7
05-032,200925,10
05-032,200926,9
05-032,200927,11
05-032,200928,12
05-032,200929,11
05-032,200930,14
05-032,201001,12
05-032,201002,12
05-032,201003,11
05-032,201004,11
05-032,201005,14
05-032,201006,13
05-032,201007,13
05-032,201008,13
05-032,201009,11
05-032,201010,17
05-032,201011,18
05-032,201012,16
05-032,201013,16
05-032,201014,16
05-032,201015,16
05-032,201016,19
05-032,201017,18
05-032,201018,16
05-032,201019,13
05-032,201020,12
05-032,201021,11
05-032,201022,8
05-032,201023,7
05-032,201024,7
05-032,201025,6
05-032,201028,10
05-032,201029,11
05-032,201030,11
05-032,201031,13
05-032,201101,15
05-032,201102,14
05-032,201103,13
05-032,201104,11
05-032,201105,7
05-032,201107,7
05-032,201108,7
05-032,201109,7
05-032,201110,6
05-032,201111,6
05-032,201112,6
05-032,201201,6
05-032,201202,8
05-032,201203,10
05-032,201205,29
05-032,201206,18
05-032,201207,18
05-032,201208,21
05-032,201209,25
05-032,201210,29
05-032,201211,39
05-032,201212,42
05-032,201214,39
05-032,201215,40
05-032,201216,37
05-032,201217,38
05-032,201218,43
05-032,201219,42
05-032,201220,38
05-032,201221,44
05-032,201222,39
05-032,201223,37
05-032,201224,38
05-032,201225,37
05-032,201226,36
05-032,201227,33
05-032,201228,28
05-032,201229,25
05-032,201230,22
05-032,201231,22
05-032,210101,17
05-032,210102,17
05-032,210103,14
05-035,200629,12
05-035,200630,11
05-035,200701,11
05-035,200702,11
05-035,200703,11
05-035,200704,12
05-035,200705,13
05-035,200706,13
05-035,200707,13
05-035,200708,14
05-035,200709,14
05-035,200710,14
05-035,200711,14
05-035,200712,14
05-035,200713,12
05-035,200714,8
05-035,200715,10
05-035,200716,10
05-035,200717,13
05-035,200718,12
05-035,200719,13
05-035,200720,12
05-035,200721,12
05-035,200722,12
05-035,200723,11
05-035,200724,11
05-035,200726,9
05-035,200727,8
05-035,200728,9
05-035,200729,8
05-035,200730,8
05-035,200731,11
05-035,200801,11
05-035,200802,9
05-035,200803,8
05-035,200804,6
05-035,200805,6
05-035,200807,6
05-035,200809,7
05-035,200810,7
05-035,200812,10
05-035,200813,13
05-035,200814,14
05-035,200815,15
05-035,200816,15
05-035,200817,13
05-035,200818,11
05-035,200819,13
05-035,200820,14
05-035,200821,17
05-035,200822,18
05-035,200823,19
05-035,200824,17
05-035,200825,16
05-035,200826,21
05-035,200827,22
05-035,200828,21
05-035,200829,19
05-035,200830,14
05-035,200831,11
05-035,200901,10
05-035,200902,9
05-035,200903,11
05-035,200904,26
05-035,200905,24
05-035,200906,24
05-035,200907,26
05-035,200908,26
05-035,200909,26
05-035,200910,24
05-035,200911,19
05-035,200912,19
05-035,200913,17
05-035,200914,16
05-035,200915,16
05-035,200916,16
05-035,200917,13
05-035,200918,12
05-035,200919,12
05-035,200920,10
05-035,200921,10
05-035,200922,13
05-035,200923,13
05-035,200924,13
05-035,200925,12
05-035,200926,10
05-035,200927,9
05-035,200928,8
05-035,200929,10
05-035,200930,11
05-035,201001,11
05-035,201002,12
05-035,201003,13
05-035,201004,15
05-035,201005,13
05-035,201006,12
05-035,201007,13
05-035,201008,10
05-035,201009,11
05-035,201010,9
05-035,201011,7
05-035,201012,7
05-035,201013,7
05-035,201014,8
05-035,201015,7
05-035,201016,11
05-035,201017,11
05-035,201018,8
05-035,201019,12
05-035,201020,18
05-035,201021,19
05-035,201022,21
05-035,201023,30
05-035,201024,30
05-035,201025,27
05-035,201026,25
05-035,201027,20
05-035,201028,20
05-035,201029,19
05-035,201030,25
05-035,201031,28
05-035,201101,21
05-035,201102,18
05-035,201103,16
05-035,201104,11
05-035,201105,9
05-035,201106,8
05-035,201107,8
05-035,201108,9
05-035,201109,10
05-035,201110,8
05-035,201111,8
05-035,201112,6
05-035,201123,7
05-035,201125,23
05-035,201126,14
05-035,201127,13
05-035,201128,19
05-035,201129,22
05-035,201130,23
05-035,201201,26
05-035,201202,28
05-035,201203,29
05-035,201205,82
05-035,201206,37
05-035,201207,37
05-035,201208,34
05-035,201209,32
05-035,201210,34
05-035,201211,33
05-035,201212,34
05-035,201214,37
05-035,201215,39
05-035,201216,43
05-035,201217,45
05-035,201218,43
05-035,201219,48
05-035,201220,47
05-035,201221,48
05-035,201222,55
05-035,201223,53
05-035,201224,60
05-035,201225,57
05-035,201226,57
05-035,201227,54
05-035,201228,53
05-035,201229,61
05-035,201230,68
05-035,201231,71
05-035,210101,65
05-035,210102,60
05-035,210103,51
05-054,200704,6
05-054,200705,6
05-054,200706,6
05-054,200707,8
05-054,200708,7
05-054,200709,7
05-054,200831,6
05-054,200901,6
05-054,200902,6
05-054,200903,6
05-054,201010,6
05-054,201201,6
05-054,201202,6
05-054,201205,8
05-054,201209,7
05-054,201210,7
05-054,201211,7
05-054,201212,9
05-054,201214,8
05-054,201215,8
05-054,201216,10
05-054,201217,8
05-054,201218,7
05-054,201219,7
05-054,201220,6
05-054,201221,6
05-054,201222,6
05-054,201224,6
05-054,201225,6
05-054,201229,6
05-054,210101,6
05-054,210102,6
05-054,210103,7
05-067,200629,7
05-067,200703,6
05-067,200704,8
05-067,200705,8
05-067,200706,6
05-067,200707,7
05-067,200708,11
05-067,200709,9
05-067,200710,9
05-067,200711,7
05-067,200717,6
05-067,200718,7
05-067,200827,6
05-067,200828,6
05-067,200829,8
05-067,200830,8
05-067,200831,7
05-067,200901,9
05-067,200902,8
05-067,200903,8
05-067,200904,7
05-067,200905,6
05-067,201012,7
05-067,201020,6
05-067,201024,6
05-067,201028,7
05-067,201029,13
05-067,201030,13
05-067,201031,12
05-067,201101,11
05-067,201102,10
05-067,201103,10
05-067,201104,7
05-067,201125,6
05-067,201126,6
05-067,201127,6
05-067,201129,7
05-067,201130,7
05-067,201201,10
05-067,201202,9
05-067,201203,9
05-067,201205,22
05-067,201206,11
05-067,201207,10
05-067,201208,13
05-067,201209,18
05-067,201210,22
05-067,201211,24
05-067,201212,28
05-067,201214,28
05-067,201215,32
05-067,201216,31
05-067,201217,31
05-067,201218,32
05-067,201219,35
05-067,201220,34
05-067,201221,30
05-067,201222,40
05-067,201223,41
05-067,201224,50
05-067,201225,55
05-067,201226,55
05-067,201227,51
05-067,201228,46
05-067,201229,45
05-067,201230,39
05-067,201231,37
05-067,210101,34
05-067,210102,32
05-067,210103,25
05-072,200723,6
05-072,200724,6
05-072,200826,6
05-072,200828,6
05-072,200829,6
05-072,200830,6
05-072,200831,6
05-072,200901,6
05-072,200923,10
05-072,200924,10
05-072,200925,9
05-072,200926,9
05-072,200927,8
05-072,200928,8
05-072,200929,8
05-072,200930,7
05-072,201005,9
05-072,201006,11
05-072,201007,11
05-072,201008,12
05-072,201009,14
05-072,201010,15
05-072,201011,15
05-072,201012,14
05-072,201013,12
05-072,201014,12
05-072,201015,10
05-072,201016,12
05-072,201017,9
05-072,201018,9
05-072,201019,10
05-072,201020,11
05-072,201021,11
05-072,201022,9
05-072,201023,10
05-072,201024,10
05-072,201025,11
05-072,201026,11
05-072,201027,10
05-072,201028,11
05-072,201029,14
05-072,201030,13
05-072,201031,15
05-072,201101,18
05-072,201102,15
05-072,201103,15
05-072,201104,12
05-072,201105,9
05-072,201106,8
05-072,201205,14
05-072,201206,11
05-072,201207,11
05-072,201208,11
05-072,201209,11
05-072,201210,12
05-072,201211,13
05-072,201212,13
05-072,201214,10
05-072,201215,10
05-072,201216,9
05-072,201217,8
05-072,201218,9
05-072,201219,11
05-072,201220,9
05-072,201221,9
05-072,201222,14
05-072,201223,15
05-072,201224,18
05-072,201225,20
05-072,201226,18
05-072,201227,15
05-072,201228,14
05-072,201229,12
05-072,201230,16
05-072,201231,15
05-072,210101,14
05-072,210102,13
05-072,210103,13
05-098,200722,6
05-098,200723,6
05-098,200724,6
05-098,200924,6
05-098,200925,7
05-098,200926,7
05-098,200929,6
05-098,200930,9
05-098,201001,10
05-098,201002,8
05-098,201003,9
05-098,201004,7
05-098,201005,6
05-098,201006,7
05-098,201007,8
05-098,201008,7
05-098,201009,6
05-098,201010,6
05-098,201011,6
05-098,201202,6
05-098,201203,9
05-098,201205,47
05-098,201206,26
05-098,201207,27
05-098,201208,34
05-098,201209,35
05-098,201210,37
05-098,201211,41
05-098,201212,40
05-098,201214,36
05-098,201215,40
05-098,201216,40
05-098,201217,36
05-098,201218,37
05-098,201219,35
05-098,201220,31
05-098,201221,27
05-098,201222,26
05-098,201223,23
05-098,201224,23
05-098,201225,24
05-098,201226,21
05-098,201227,18
05-098,201228,18
05-098,201229,15
05-098,201230,15
05-098,201231,17
05-098,210101,15
05-098,210102,14
05-098,210103,13
05-102,200703,7
05-102,200704,7
05-102,200709,8
05-102,200710,9
05-102,200711,11
05-102,200712,11
05-102,200713,10
05-102,200714,10
05-102,200715,8
05-102,200716,9
05-102,200717,11
05-102,200718,11
05-102,200719,9
05-102,200720,10
05-102,200721,10
05-102,200722,11
05-102,200723,11
05-102,200724,8
05-102,200726,6
05-102,200728,7
05-102,200729,7
05-102,200730,9
05-102,200731,8
05-102,200801,10
05-102,200802,10
05-102,200803,8
05-102,200820,6
05-102,200821,6
05-102,200822,7
05-102,200823,8
05-102,200824,6
05-102,200825,6
05-102,200826,9
05-102,200827,9
05-102,200828,9
05-102,200829,9
05-102,200830,9
05-102,200831,8
05-102,200901,7
05-102,200902,6
05-102,200904,6
05-102,200905,10
05-102,200906,9
05-102,200907,8
05-102,200908,8
05-102,200909,7
05-102,200910,6
05-102,200911,6
05-102,200912,6
05-102,200923,6
05-102,200924,8
05-102,200925,7
05-102,200926,8
05-102,200927,9
05-102,200928,9
05-102,200929,8
05-102,200930,6
05-102,201001,6
05-102,201003,6
05-102,201011,6
05-102,201012,8
05-102,201013,7
05-102,201014,7
05-102,201015,7
05-102,201016,6
05-102,201020,7
05-102,201021,6
05-102,201023,8
05-102,201024,8
05-102,201025,9
05-102,201026,10
05-102,201027,11
05-102,201028,13
05-102,201029,15
05-102,201030,14
05-102,201031,16
05-102,201101,14
05-102,201102,10
05-102,201103,10
05-102,201104,11
05-102,201105,10
05-102,201106,9
05-102,201107,9
05-102,201108,6
05-102,201109,6
05-102,201128,8
05-102,201129,8
05-102,201130,9
05-102,201201,13
05-102,201202,14
05-102,201203,16
05-102,201205,35
05-102,201206,18
05-102,201207,17
05-102,201208,22
05-102,201209,26
05-102,201210,30
05-102,201211,27
05-102,201212,27
05-102,201214,24
05-102,201215,22
05-102,201216,24
05-102,201217,22
05-102,201218,25
05-102,201219,27
05-102,201220,26
05-102,201221,24
05-102,201222,31
05-102,201223,38
05-102,201224,42
05-102,201225,48
05-102,201226,46
05-102,201227,44
05-102,201228,42
05-102,201229,46
05-102,201230,46
05-102,201231,49
05-102,210101,54
05-102,210102,49
05-102,210103,46
05-124,200629,8
05-124,200630,8
05-124,200701,8
05-124,200702,10
05-124,200703,8
05-124,200704,7
05-124,200705,6
05-124,200817,6
05-124,200819,6
05-124,200820,6
05-124,200821,6
05-124,200822,6
05-124,200829,6
05-124,200830,6
05-124,200831,6
05-124,200901,6
05-124,200902,10
05-124,200903,9
05-124,200904,13
05-124,200905,14
05-124,200906,11
05-124,200907,9
05-124,200908,9
05-124,200909,8
05-124,200910,8
05-124,200912,7
05-124,200913,8
05-124,200914,8
05-124,200915,7
05-124,200916,7
05-124,200918,6
05-124,201001,6
05-124,201002,7
05-124,201003,7
05-124,201004,6
05-124,201023,6
05-124,201028,6
05-124,201029,7
05-124,201030,8
05-124,201031,12
05-124,201101,12
05-124,201102,12
05-124,201103,12
05-124,201104,11
05-124,201105,7
05-124,201107,6
05-124,201125,8
05-124,201126,6
05-124,201127,7
05-124,201128,12
05-124,201129,14
05-124,201130,12
05-124,201201,14
05-124,201202,14
05-124,201203,16
05-124,201205,29
05-124,201206,13
05-124,201207,12
05-124,201208,10
05-124,201209,10
05-124,201210,15
05-124,201211,16
05-124,201212,18
05-124,201214,17
05-124,201215,22
05-124,201216,26
05-124,201217,25
05-124,201218,27
05-124,201219,26
05-124,201220,26
05-124,201221,28
05-124,201222,35
05-124,201223,42
05-124,201224,44
05-124,201225,47
05-124,201226,48
05-124,201227,46
05-124,201228,44
05-124,201229,42
05-124,201230,38
05-124,201231,30
05-124,210101,29
05-124,210102,27
05-124,210103,24
05-129,200701,6
05-129,200702,6
05-129,201002,13
05-129,201003,12
05-129,201004,12
05-129,201005,12
05-129,201006,12
05-129,201007,12
05-129,201008,10
05-129,201009,10
05-129,201010,10
05-129,201011,10
05-129,201012,10
05-129,201013,9
05-129,201014,10
05-129,201101,6
05-129,201102,6
05-129,201103,6
05-129,201125,7
05-129,201127,7
05-129,201128,8
05-129,201129,9
05-129,201130,9
05-129,201201,11
05-129,201202,11
05-129,201203,10
05-129,201205,15
05-129,201206,6
05-129,201209,7
05-129,201210,8
05-129,201211,7
05-129,201212,7
05-129,201214,6
05-129,201215,6
05-129,201216,9
05-129,201217,9
05-129,201218,11
05-129,201219,11
05-129,201220,10
05-129,201221,10
05-129,201222,17
05-129,201223,16
05-129,201224,19
05-129,201225,20
05-129,201226,21
05-129,201227,20
05-129,201228,18
05-129,201229,17
05-129,201230,17
05-129,201231,18
05-129,210101,16
05-129,210102,15
05-129,210103,12
05-132,200716,7
05-132,200717,8
05-132,200718,8
05-132,200719,7
05-132,200720,8
05-132,200721,8
05-132,200722,8
05-132,200723,8
05-132,200724,8
05-132,200727,6
05-132,200728,7
05-132,200820,8
05-132,200821,8
05-132,200822,7
05-132,200823,8
05-132,200824,7
05-132,200825,7
05-132,200826,6
05-132,200827,6
05-132,200828,6
05-132,200831,9
05-132,200901,9
05-132,200902,7
05-132,200903,7
05-132,200904,6
05-132,200905,6
05-132,200929,7
05-132,200930,7
05-132,201001,7
05-132,201002,7
05-132,201003,8
05-132,201004,8
05-132,201005,7
05-132,201006,7
05-132,201007,7
05-132,201008,6
05-132,201009,6
05-132,201010,6
05-132,201031,9
05-132,201101,6
05-132,201102,7
05-132,201103,7
05-132,201104,6
05-132,201125,7
05-132,201201,8
05-132,201202,9
05-132,201203,11
05-132,201205,25
05-132,201206,16
05-132,201207,15
05-132,201208,15
05-132,201209,22
05-132,201210,22
05-132,201211,26
05-132,201212,27
05-132,201214,31
05-132,201215,32
05-132,201216,23
05-132,201217,21
05-132,201218,26
05-132,201219,33
05-132,201220,33
05-132,201221,30
05-132,201222,33
05-132,201223,34
05-132,201224,40
05-132,201225,43
05-132,201226,40
05-132,201227,44
05-132,201228,43
05-132,201229,45
05-132,201230,40
05-132,201231,48
05-132,210101,48
05-132,210102,42
05-132,210103,38
05-149,200704,7
05-149,200705,7
05-149,200706,6
05-149,200722,6
05-149,200723,6
05-149,200724,7
05-149,200817,7
05-149,200818,7
05-149,200819,8
05-149,200820,9
05-149,200821,9
05-149,200822,8
05-149,200823,8
05-149,200909,6
05-149,200910,7
05-149,200912,6
05-149,200918,6
05-149,200923,8
05-149,200924,8
05-149,200925,8
05-149,200926,7
05-149,200927,6
05-149,200928,7
05-149,200929,7
05-149,200930,6
05-149,201002,7
05-149,201003,7
05-149,201010,6
05-149,201011,6
05-149,201012,6
05-149,201013,6
05-149,201014,6
05-149,201015,6
05-149,201016,13
05-149,201017,13
05-149,201018,13
05-149,201019,10
05-149,201020,11
05-149,201021,11
05-149,201022,10
05-149,201023,13
05-149,201024,14
05-149,201025,14
05-149,201026,12
05-149,201027,10
05-149,201125,14
05-149,201126,8
05-149,201127,8
05-149,201128,10
05-149,201129,10
05-149,201130,8
05-149,201201,8
05-149,201202,12
05-149,201203,11
05-149,201205,25
05-149,201206,11
05-149,201207,11
05-149,201208,13
05-149,201209,14
05-149,201210,14
05-149,201211,22
05-149,201212,23
05-149,201214,24
05-149,201215,27
05-149,201216,23
05-149,201217,20
05-149,201218,22
05-149,201219,22
05-149,201220,20
05-149,201221,20
05-149,201222,27
05-149,201223,25
05-149,201224,25
05-149,201225,24
05-149,201226,23
05-149,201227,24
05-149,201228,22
05-149,201229,19
05-149,201230,20
05-149,201231,21
05-149,210101,17
05-149,210102,17
05-149,210103,11
05-156,200629,8
05-156,200630,12
05-156,200701,9
05-156,200702,7
05-156,200703,9
05-156,200704,14
05-156,200705,11
05-156,200706,8
05-156,200707,10
05-156,200708,11
05-156,200709,10
05-156,200710,11
05-156,200711,10
05-156,200712,10
05-156,200713,8
05-156,200714,8
05-156,200715,9
05-156,200716,9
05-156,200717,11
05-156,200718,11
05-156,200719,15
05-156,200720,16
05-156,200721,15
05-156,200722,17
05-156,200723,17
05-156,200724,15
05-156,200726,12
05-156,200727,12
05-156,200728,14
05-156,200729,13
05-156,200730,12
05-156,200731,9
05-156,200801,15
05-156,200802,14
05-156,200803,16
05-156,200804,12
05-156,200805,6
05-156,200806,7
05-156,200807,10
05-156,200808,7
05-156,200809,8
05-156,200810,7
05-156,200811,7
05-156,200812,6
05-156,200813,9
05-156,200814,12
05-156,200815,16
05-156,200816,17
05-156,200817,19
05-156,200818,19
05-156,200819,17
05-156,200820,17
05-156,200821,14
05-156,200822,14
05-156,200823,13
05-156,200824,11
05-156,200825,11
05-156,200826,18
05-156,200827,18
05-156,200828,17
05-156,200829,20
05-156,200830,22
05-156,200831,21
05-156,200901,14
05-156,200902,14
05-156,200903,15
05-156,200904,12
05-156,200905,10
05-156,200906,9
05-156,200907,7
05-156,200908,7
05-156,200909,7
05-156,200910,6
05-156,200912,6
05-156,200921,7
05-156,200922,6
05-156,200923,10
05-156,200924,10
05-156,200925,10
05-156,200926,11
05-156,200927,9
05-156,200928,9
05-156,200929,9
05-156,200930,9
05-156,201001,14
05-156,201002,16
05-156,201003,19
05-156,201004,20
05-156,201005,22
05-156,201006,19
05-156,201007,19
05-156,201008,18
05-156,201009,15
05-156,201010,13
05-156,201011,10
05-156,201012,8
05-156,201013,8
05-156,201016,9
05-156,201017,8
05-156,201018,8
05-156,201019,8
05-156,201020,16
05-156,201021,15
05-156,201022,13
05-156,201023,12
05-156,201024,11
05-156,201025,12
05-156,201026,8
05-156,201027,8
05-156,201028,8
05-156,201029,7
05-156,201030,8
05-156,201031,7
05-156,201101,6
05-156,201102,7
05-156,201103,7
05-156,201104,6
05-156,201108,6
05-156,201109,6
05-156,201110,6
05-156,201201,14
05-156,201202,18
05-156,201203,20
05-156,201205,91
05-156,201206,50
05-156,201207,52
05-156,201208,58
05-156,201209,59
05-156,201210,62
05-156,201211,65
05-156,201212,66
05-156,201214,63
05-156,201215,66
05-156,201216,63
05-156,201217,59
05-156,201218,61
05-156,201219,63
05-156,201220,58
05-156,201221,54
05-156,201222,58
05-156,201223,59
05-156,201224,67
05-156,201225,74
05-156,201226,70
05-156,201227,69
05-156,201228,65
05-156,201229,69
05-156,201230,68
05-156,201231,61
05-156,210101,56
05-156,210102,49
05-156,210103,40
05-161,200724,6
05-161,200906,7
05-161,200907,6
05-161,200908,6
05-161,200909,6
05-161,200910,6
05-161,200911,6
05-161,201023,6
05-161,201024,6
05-161,201203,6
05-161,201205,20
05-161,201206,9
05-161,201207,12
05-161,201208,13
05-161,201209,20
05-161,201210,23
05-161,201211,27
05-161,201212,27
05-161,201214,28
05-161,201215,25
05-161,201216,22
05-161,201217,21
05-161,201218,20
05-161,201219,17
05-161,201220,17
05-161,201221,18
05-161,201222,17
05-161,201223,18
05-161,201224,19
05-161,201225,14
05-161,201226,13
05-161,201227,13
05-161,201228,11
05-161,201229,12
05-161,201230,10
05-161,201231,9
05-161,210101,10
05-161,210102,9
05-161,210103,10
05-164,200731,7
05-164,200801,6
05-164,200802,6
05-164,200814,6
05-164,200831,6
05-164,200901,6
05-164,200902,6
05-164,200903,6
05-164,200904,6
05-164,200907,6
05-164,200908,7
05-164,200909,6
05-164,200910,6
05-164,200911,6
05-164,200914,6
05-164,200915,7
05-164,200916,6
05-164,200917,6
05-164,200919,6
05-164,200920,6
05-164,200929,6
05-164,200930,9
05-164,201001,7
05-164,201002,6
05-164,201205,15
05-164,201206,8
05-164,201207,9
05-164,201208,12
05-164,201209,11
05-164,201210,13
05-164,201211,14
05-164,201212,13
05-164,201214,9
05-164,201215,9
05-164,201216,8
05-164,201217,10
05-164,201218,13
05-164,201219,13
05-164,201220,13
05-164,201221,13
05-164,201222,17
05-164,201223,17
05-164,201224,17
05-164,201225,21
05-164,201226,20
05-164,201227,20
05-164,201228,20
05-164,201229,20
05-164,201230,20
05-164,201231,22
05-164,210101,19
05-164,210102,18
05-164,210103,15
05-170,200703,8
05-170,200704,9
05-170,200705,9
05-170,200706,8
05-170,200707,9
05-170,200708,9
05-170,200709,10
05-170,200710,10
05-170,200711,9
05-170,200712,8
05-170,200713,6
05-170,200724,6
05-170,200726,6
05-170,200727,6
05-170,200807,7
05-170,200808,6
05-170,200809,7
05-170,200812,6
05-170,200813,7
05-170,200814,6
05-170,200819,14
05-170,200820,15
05-170,200821,18
05-170,200822,18
05-170,200823,19
05-170,200824,19
05-170,200825,19
05-170,200826,17
05-170,200827,16
05-170,200828,14
05-170,200829,12
05-170,200830,14
05-170,200831,10
05-170,200901,14
05-170,200902,17
05-170,200903,18
05-170,200904,20
05-170,200905,22
05-170,200906,22
05-170,200907,23
05-170,200908,22
05-170,200909,20
05-170,200910,29
05-170,200911,25
05-170,200912,23
05-170,200913,22
05-170,200914,21
05-170,200915,20
05-170,200916,22
05-170,200917,16
05-170,200918,14
05-170,200919,13
05-170,200923,6
05-170,200924,7
05-170,200925,7
05-170,200926,7
05-170,200927,6
05-170,200928,6
05-170,200929,6
05-170,200930,9
05-170,201001,7
05-170,201002,7
05-170,201003,8
05-170,201004,7
05-170,201005,11
05-170,201006,11
05-170,201007,8
05-170,201008,8
05-170,201009,10
05-170,201010,10
05-170,201011,9
05-170,201012,9
05-170,201013,10
05-170,201014,10
05-170,201015,10
05-170,201016,14
05-170,201017,13
05-170,201018,12
05-170,201019,11
05-170,201020,15
05-170,201021,18
05-170,201022,16
05-170,201023,18
05-170,201024,14
05-170,201025,18
05-170,201026,16
05-170,201027,12
05-170,201028,14
05-170,201029,13
05-170,201030,14
05-170,201031,13
05-170,201101,10
05-170,201102,11
05-170,201103,11
05-170,201104,12
05-170,201105,9
05-170,201106,8
05-170,201107,7
05-170,201108,8
05-170,201109,8
05-170,201110,7
05-170,201116,6
05-170,201117,6
05-170,201125,6
05-170,201128,6
05-170,201129,6
05-170,201130,8
05-170,201201,10
05-170,201202,12
05-170,201203,21
05-170,201205,53
05-170,201206,27
05-170,201207,27
05-170,201208,32
05-170,201209,30
05-170,201210,34
05-170,201211,36
05-170,201212,36
05-170,201214,34
05-170,201215,36
05-170,201216,37
05-170,201217,41
05-170,201218,44
05-170,201219,49
05-170,201220,46
05-170,201221,47
05-170,201222,58
05-170,201223,57
05-170,201224,61
05-170,201225,58
05-170,201226,52
05-170,201227,46
05-170,201228,44
05-170,201229,47
05-170,201230,44
05-170,201231,46
05-170,210101,44
05-170,210102,42
05-170,210103,35
05-184,200705,6
05-184,200706,6
05-184,200707,6
05-184,200708,6
05-184,200709,6
05-184,200710,7
05-184,200711,7
05-184,200728,8
05-184,200729,8
05-184,200730,9
05-184,200731,9
05-184,200801,10
05-184,200802,8
05-184,200803,8
05-184,200804,6
05-184,200828,7
