,name,vicinity,rating,Users_ratings_total,lng,lat
531,Tianguis de Palo Solo,"Av Palo Solo LT.2, Palo Solo, Naucalpan de Juárez",5.0,2,-99.2749494,19.409313
532,Tianguis de la Retama,"Av. Voluntad, La Retama, Naucalpan de Juárez",5.0,1,-99.28866149999999,19.3768534
622,Tianguis Del Martes,"Av. José Martí 230-240, Escandón I Secc, Ciudad de México",5.0,1,-99.17435359999999,19.4010398
623,Tianguis Dominical,"Obrero Mundial 230, Piedad Narvarte, Ciudad de México",4.6,52,-99.1617715,19.4013263
627,Tianguis Artesanal Tenanitla A. C.,"Calle Benito Juárez 102, San Ángel TNT, San Ángel, Ciudad de México",4.0,6,-99.1930186,19.345038
628,Tianguis Trueque,"Av Centenario, Belen de las Flores, Ciudad de México",0.0,0,-99.2361166,19.3569018
671,Tianguis Vallejo,"Calle 8 113, Ampliación Progreso Nacional, Ciudad de México",0.0,0,-99.1609697,19.5213246
673,Tianguis iztacala,"Av 3-A, Santa Rosa, Ciudad de México",0.0,0,-99.17163699999999,19.5226545
695,TIANGUIS VISUAL,"Calle Sócrates 70, Santiago Tepalcatlalpan, Ciudad de México",0.0,0,-99.1230598,19.2453624
736,MERCADO TULYEHUALCO,"División del Nte., Santiago Tulyehualco, Xochimilco",3.9,6223,-99.01125359999999,19.2549895
750,Tianguis de la Av. Juárez,"Calle 18 163, Los Volcanes, Nezahualcóyotl",3.7,3,-99.0533956,19.4077475
754,Tianguis C. Juarez,"Unidad Habitacional Guelatao de Juárez I Sección C, Guelatao de Juárez I y II, Mexico City",4.0,2,-99.0421643,19.3855492
817,Mercado sobre Ruedas Tizapán,"Av. México 136, Tizapán San Ángel, Ermita Tizapán, Ciudad de México",4.4,330,-99.2043607,19.3372681
832,Abarrotes Don Susanito (Tianguis los sábados),"Emilio Berliner 23-92, Fuego Nuevo, Ciudad de México",4.0,1,-99.1022687,19.3331766
834,Tianguis viernes,"Tecnicos Y Manuales, Lomas Estrella 2da Secc, Ciudad de México",3.8,5,-99.0881643,19.3189224
837,"Tianguis ""La Virgen""","Calz de la Virgen SN-C, Coapa, Carmen Serdán, Ciudad de México",4.2,794,-99.11071369999999,19.3213144
931,Tianguis circunvalacion,"Av. Circunvalacion 828-829, Zona Urbana Ejidal Santa María Aztahuacan, Ciudad de México",4.0,1,-99.02759499999999,19.3529544
932,Frutas y Verduras de TIANGUIS,"Plaza Principal S/N, Sta Cruz Meyehualco, Ciudad de México",0.0,0,-99.03855639999999,19.3432347
933,Tianguis santa cruz meyehualco,"14, Av. 6 13, Santa Cruz Meyehualco, Ciudad de México",4.2,1329,-99.03896119999999,19.3471319
935,Tianguis Batallones Rojos,"09200, Av Batallones Rojos 30, Albarrada, Ciudad de México",3.8,4,-99.0618901,19.3555149
1065,Tianguis Bajio,"Calle Bajío, Roma Sur, Ciudad de México",3.9,10,-99.1664617,19.4031093
1108,Tianguis tamales frijol,"Calle N Manzana X 9, Educación, Ciudad de México",0.0,0,-99.1334551,19.3375218
1156,"Tianguis ""Jardines de Santa Clara"".","Paseo de Sta. Clara, Jardines de Santa Clara, Ecatepec de Morelos",4.2,250,-99.0387728,19.5479718
1215,Tianguis de Capúla,"Marco Polo 79, Lomas de Capúla, Ciudad de México",4.7,13,-99.21586429999999,19.3798236
1255,El BONITO TIANGUIS Atma Yoga,"Calle 21 109, San Pedro de los Pinos, Ciudad de México",4.3,10,-99.1832953,19.3875223
1259,Tianguis,"Minerva 287-309, Axotla, Ciudad de México",0.0,0,-99.17797879999999,19.3565761
1337,Tianguis de 10 de abril,"Luis Echeverría Álvarez 67, 10 de Abril, Naucalpan de Juárez",0.0,0,-99.21664349999999,19.4912555
1391,Tianguis Granjas Mexico,"Centeno 546, Granjas México, Ciudad de México",5.0,1,-99.10570009999999,19.4008693
1395,Tianguis Físicos,"Físicos 272, El Sifón, Ciudad de México",4.5,2,-99.1118679,19.3714359
1436,Tianguis del Lunes Papalotl,"Papalotl 245, Pedregal de Santo Domingo, Ciudad de México",5.0,1,-99.1637045,19.3274218
1461,El Tianguis,"Coahuila 172, Roma Nte., Ciudad de México",0.0,0,-99.1640223,19.4109466
1462,Tianguis martes,"73, Av. Veracruz 55, Ciudad de México",0.0,0,-99.1747865,19.4177024
1594,Mercado Itinerante de Av. Imán,"Chicomostoc 714(MZ2 LT114, Ajusco, Ciudad de México",4.2,3793,-99.1714164,19.3112762
