alcaldia,colonia,clave_colonia,total_200801,total_200802
BENITO JUAREZ,INDEPENDENCIA,14-016,7,9
MIGUEL HIDALGO,PENSIL NORTE,16-060,16,10
MIGUEL HIDALGO,POPOTLA II,16-093,7,7
COYOACAN,AMPLIACION CANDELARIA,03-006,6,NA
COYOACAN,CTM V CULHUACAN (U HAB),03-029,NA,6
COYOACAN,CTM VI CULHUACAN (U HAB),03-030,7,8
COYOACAN,CTM VIII CULHUACAN (U HAB),03-033,6,7
COYOACAN,SANTA URSULA COAPA (PBLO),03-109,7,NA
COYOACAN,AJUSCO III,03-130,20,16
COYOACAN,PEDREGAL DE SANTA URSULA I,03-135,13,10
COYOACAN,PEDREGAL DE STO DOMINGO I,03-139,19,16
COYOACAN,PEDREGAL DE STO DOMINGO II,03-140,11,15
COYOACAN,PEDREGAL DE STO DOMINGO III,03-141,13,9
COYOACAN,PEDREGAL DE STO DOMINGO V,03-143,17,17
COYOACAN,PEDREGAL DE STO DOMINGO VII,03-145,10,10
VENUSTIANO CARRANZA,ARTES GRAFICAS,17-006,7,6
VENUSTIANO CARRANZA,EL PARQUE,17-023,6,6
VENUSTIANO CARRANZA,VALLE GOMEZ,17-061,NA,6
GUSTAVO A. MADERO,LA CASILDA,05-094,6,6
GUSTAVO A. MADERO,NARCISO BASSOLS (U HAB),05-127,8,7
GUSTAVO A. MADERO,SAN PEDRO ZACATENCO (PBLO),05-168,6,NA
GUSTAVO A. MADERO,CASAS ALEMAN (AMPL) I,05-217,10,10
GUSTAVO A. MADERO,CHALMA DE GUADALUPE I,05-219,7,7
GUSTAVO A. MADERO,LINDAVISTA II,05-226,6,6
GUSTAVO A. MADERO,SAN FELIPE DE JESUS IV,05-240,16,16
GUSTAVO A. MADERO,SAN JUAN DE ARAGON 1A SECCION (U HAB) II,05-242,NA,6
GUSTAVO A. MADERO,SAN JUAN DE ARAGON 3A SECCION (U HAB) II,05-255,7,7
MILPA ALTA,SAN ANTONIO TECOMITL (PBLO),09-002,37,45
MILPA ALTA,SAN SALVADOR CUAUHTENCO (PBLO),09-010,38,30
MILPA ALTA,VILLA MILPA ALTA (PBLO),09-012,20,16
TLALPAN,AMPLIACION MIGUEL HIDALGO 2A SECC,12-002,15,15
TLALPAN,EJIDOS DE SAN PEDRO MARTIR I (NORTE),12-035,9,9
TLALPAN,ISIDRO  FABELA (AMPL),12-061,6,NA
TLALPAN,LA MAGDALENA PETLACALCO (PBLO),12-074,15,16
TLALPAN,PEDREGAL DE SN NICOLAS 1A SECC,12-117,10,11
TLALPAN,PEDREGAL DE SN NICOLAS 3A SECC,12-119,13,12
TLALPAN,SAN ANDRES TOTOLTEPEC (PBLO),12-147,22,27
TLALPAN,SAN MIGUEL AJUSCO (PBLO),12-155,7,NA
XOCHIMILCO,SAN LORENZO ATEMOAYA (PBLO),13-050,6,7
XOCHIMILCO,SAN MATEO XALPA (PBLO),13-056,10,10
XOCHIMILCO,SANTA CRUZ ACALPIXCA (PBLO),13-060,30,31
