"","alcaldia","colonia","clave_colonia","total_210118","total_210119","total_210120","total_210121","total_210122","total_210123","total_210124"
"489","AZCAPOTZALCO","PLENITUD","02-060",30,25,26,26,27,28,27
"490","AZCAPOTZALCO","SAN ANTONIO (FRACC)","02-074",6,8,8,7,8,12,12
"491","AZCAPOTZALCO","SAN FRANCISCO XOCOTITLA","02-078",NA,NA,NA,8,8,6,6
"492","AZCAPOTZALCO","SAN SEBASTIAN","02-088",13,14,13,13,12,16,17
"493","COYOACAN","AMPLIACION CANDELARIA","03-006",37,33,35,34,32,32,28
"494","GUSTAVO A. MADERO","CASTILLO GRANDE","05-021",16,18,18,14,13,17,16
"495","GUSTAVO A. MADERO","LA MALINCHE","05-105",12,14,15,17,21,25,25
"496","GUSTAVO A. MADERO","TLALPEXCO","05-184",22,24,25,20,21,21,20
"497","GUSTAVO A. MADERO","7 DE NOVIEMBRE","05-212",7,13,15,16,17,17,15
"498","GUSTAVO A. MADERO","VALLEJO I","05-249",37,38,35,33,33,32,32
"499","IZTACALCO","SANTIAGO NORTE","06-034",19,20,19,17,16,13,14
"500","IZTAPALAPA","BENITO JUAREZ","07-015",NA,NA,NA,7,8,8,9
"501","IZTAPALAPA","CASA BLANCA","07-025",33,36,37,40,39,39,33
"502","IZTAPALAPA","EL SIFON","07-062",46,44,44,55,56,52,45
"503","IZTAPALAPA","JARDINES DE SAN LORENZO","07-099",44,42,39,44,44,44,42
"504","IZTAPALAPA","MIGUEL DE LA MADRID HURTADO","07-139",37,39,43,44,47,48,42
"505","IZTAPALAPA","PUENTE BLANCO","07-166",50,47,50,47,52,60,54
"506","IZTAPALAPA","ZACAHUITZCO","07-251",22,22,20,19,16,16,15
"507","IZTAPALAPA","CERRO DE LA ESTRELLA II","07-261",19,16,15,20,20,25,25
"508","IZTAPALAPA","LEYES DE REFORMA 3A SECCION II","07-280",45,47,53,51,52,51,49
"509","IZTAPALAPA","LOMAS ESTRELLA 2A SECC I","07-285",33,38,38,38,42,38,38
"510","IZTAPALAPA","SAN JUAN XALPA II","07-290",55,65,67,73,79,83,74
"511","IZTAPALAPA","JUAN ESCUTIA III","07-313",25,25,29,28,27,24,22
"512","TLALPAN","PEDREGAL DE SN NICOLAS 4A SECC I","12-213",18,23,23,28,29,30,32
"513","TLALPAN","PEDREGAL DE SN NICOLAS 4A SECC II","12-214",26,30,32,30,33,32,24
"514","XOCHIMILCO","SAN ESTEBAN (BARR)","13-040",9,9,8,10,11,11,10
"515","CUAUHTEMOC","SAN SIMON TOLNAHUAC","15-027",42,56,58,56,53,54,47
"516","CUAUHTEMOC","MORELOS II","15-057",13,14,17,16,18,17,16
"517","CUAUHTEMOC","SANTA MARIA LA RIBERA II","15-076",55,63,67,66,64,64,56
"518","MIGUEL HIDALGO","SAN MIGUEL CHAPULTEPEC II","16-095",19,17,21,22,23,21,19
"519","VENUSTIANO CARRANZA","JAMAICA","17-031",8,9,6,NA,6,NA,NA
"520","AZCAPOTZALCO","LA RAZA","02-041",22,30,31,39,32,41,44
"521","AZCAPOTZALCO","SAN ANDRES (PBLO)","02-072",18,21,21,22,22,19,15
"522","COYOACAN","CARMEN SERDAN","03-017",32,40,40,46,49,51,47
"523","CUAJIMALPA DE MORELOS","XALPA","04-051",11,11,9,11,10,10,10
"524","GUSTAVO A. MADERO","GUADALUPE INSURGENTES","05-071",8,8,11,10,9,8,6
"525","GUSTAVO A. MADERO","GUADALUPE VICTORIA II","05-076",10,8,10,12,12,9,9
"526","GUSTAVO A. MADERO","PANAMERICANA","05-133",12,17,22,20,22,23,25
"527","GUSTAVO A. MADERO","CHALMA DE GUADALUPE I","05-219",30,37,35,40,36,41,39
"528","GUSTAVO A. MADERO","SAN JUAN DE ARAGON 2A SECCION (U HAB) I","05-243",27,26,29,31,29,33,30
"529","IZTACALCO","CARLOS ZAPATA VELA","06-004",29,28,35,37,39,40,40
"530","IZTAPALAPA","EL RETOO","07-057",9,6,7,9,8,9,9
"531","IZTAPALAPA","SANTA BARBARA (BARR) I","07-205",61,65,68,56,59,64,57
"532","IZTAPALAPA","SAN MIGUEL TEOTONGO III","07-293",39,39,35,43,40,43,43
"533","IZTAPALAPA","SANTA MARIA AZTAHUACAN (EJ) I","07-297",45,47,48,47,48,48,48
"534","IZTAPALAPA","STA MARTHA ACATITLA NTE (AMPL) II","07-300",20,19,15,15,24,26,31
"535","ALVARO OBREGON","SANTA LUCIA","10-200",30,38,33,39,39,42,42
"536","TLALPAN","BELVEDERE","12-013",31,29,31,27,27,26,25
"537","TLALPAN","BOSQUES DEL PEDREGAL","12-016",24,25,24,23,25,23,19
"538","TLALPAN","JUVENTUD UNIDA","12-068",NA,NA,6,NA,NA,NA,NA
"539","TLALPAN","PEDREGAL DE SN NICOLAS 3A SECC","12-119",61,62,67,68,71,70,66
"540","TLALPAN","HEROES DE PADIERNA I","12-209",55,56,60,60,62,67,68
"541","BENITO JUAREZ","DEL VALLE V","14-057",12,13,16,20,19,20,18
"542","CUAUHTEMOC","JUAREZ","15-017",30,33,35,30,37,39,39
"543","MIGUEL HIDALGO","GRANADA","16-031",19,20,19,17,15,16,15
"544","MIGUEL HIDALGO","MEXICO NUEVO","16-050",19,21,23,20,20,24,23
"545","MIGUEL HIDALGO","SAN DIEGO OCOYOACAC","16-072",11,15,14,17,18,20,20
"546","MIGUEL HIDALGO","ESCANDON I","16-090",24,21,23,28,29,32,30
"547","VENUSTIANO CARRANZA","EL ARENAL 3A SECCION","17-020",7,8,8,7,7,8,7
"548","AZCAPOTZALCO","REYNOSA TAMAULIPAS","02-067",30,29,30,32,37,35,32
"549","COYOACAN","ADOLFO RUIZ CORTINES I","03-126",30,33,32,30,31,30,37
"550","GUSTAVO A. MADERO","CTM ATZACOALCO (U HAB)","05-031",47,47,40,39,38,35,29
"551","IZTAPALAPA","IXTLAHUACAN","07-096",46,45,45,48,50,42,37
"552","ALVARO OBREGON","PRESIDENTES 2DA (AMPL)","10-179",33,30,31,32,31,27,27
"553","XOCHIMILCO","LOS CERRILLOS II","13-026",36,35,38,36,31,27,26
"554","XOCHIMILCO","SANTA CECILIA TEPETLAPA (PBLO)","13-058",72,78,77,78,81,82,76
"555","VENUSTIANO CARRANZA","JARDIN BALBUENA I","17-076",32,33,35,37,38,40,35
"556","AZCAPOTZALCO","PASTEROS","02-056",23,23,24,23,26,29,30
"557","AZCAPOTZALCO","SANTA LUCIA (BARR)","02-095",6,8,6,NA,NA,NA,NA
"558","GUSTAVO A. MADERO","ESTANZUELA","05-054",15,15,12,18,21,25,23
"559","GUSTAVO A. MADERO","GENERAL FELIPE BERRIOZABAL","05-065",22,24,26,24,21,20,20
"560","GUSTAVO A. MADERO","SAN JUAN Y GUADALUPE TICOMAN (BARR)","05-164",19,21,20,22,29,27,27
"561","IZTAPALAPA","EJTO DE OTE II (U HAB)","07-049",24,23,26,25,23,24,21
"562","ALVARO OBREGON","PREDIO LA ANGOSTURA","10-257",12,14,14,14,13,12,12
"563","TLALPAN","EL ZACATON","12-039",11,10,10,9,16,22,22
"564","TLALPAN","VIVEROS DE COACTETLAN","12-199",21,21,20,22,20,21,19
"565","CUAUHTEMOC","VALLE GOMEZ","15-033",12,13,15,15,14,16,13
"566","MIGUEL HIDALGO","5 DE MAYO","16-087",19,21,21,23,28,28,27
"567","GUSTAVO A. MADERO","VALLEJO PONIENTE","05-195",7,8,7,8,6,6,NA
"568","IZTACALCO","AMPLIACION RAMOS MILLAN","06-002",32,32,29,32,34,32,31
"569","IZTAPALAPA","PARAISO","07-152",23,31,32,32,35,36,32
"570","IZTAPALAPA","SAN LUCAS (BARR)","07-195",63,71,70,72,78,71,68
"571","IZTAPALAPA","JOSE LOPEZ PORTILLO I","07-275",30,34,37,41,41,43,41
"572","IZTAPALAPA","LOMAS ESTRELLA 2A SECC II","07-286",19,20,22,24,24,21,20
"573","TLAHUAC","LA NOPALERA","11-019",29,29,29,31,30,27,28
"574","TLALPAN","POPULAR STA TERESA","12-127",29,37,44,41,38,39,40
"575","TLALPAN","VILLA COAPA (RDCIAL)","12-191",17,16,13,13,13,18,18
"576","TLALPAN","EJIDOS DE SAN PEDRO MARTIR II (SUR)","12-219",18,20,31,32,31,37,35
"577","BENITO JUAREZ","NIOS HEROES DE CHAPULTEPEC","14-031",NA,NA,NA,NA,NA,NA,6
"578","MIGUEL HIDALGO","AGRICULTURA","16-001",23,24,20,19,17,17,17
"579","MIGUEL HIDALGO","BOSQUES DE LAS LOMAS","16-019",NA,NA,NA,NA,NA,NA,NA
"580","VENUSTIANO CARRANZA","CENTRO I","17-072",20,29,30,32,31,30,28
"581","AZCAPOTZALCO","PROVIDENCIA","02-066",46,44,48,44,45,41,40
"582","GUSTAVO A. MADERO","LA CANDELARIA TICOMAN (BARR)","05-093",22,22,18,18,20,21,20
"583","IZTAPALAPA","SAN NICOLAS TOLENTINO II","07-199",32,32,27,25,24,25,26
"584","ALVARO OBREGON","TETLALPAN","10-215",6,7,10,7,8,9,12
"585","CUAUHTEMOC","MORELOS I","15-056",26,29,34,41,50,53,52
"586","AZCAPOTZALCO","LIBERACION","02-043",NA,NA,7,6,8,7,8
"587","CUAJIMALPA DE MORELOS","AHUATENCO","04-004",19,17,12,10,10,7,NA
"588","GUSTAVO A. MADERO","ARAGON LA VILLA (ARAGON)","05-006",16,17,16,17,19,24,22
"589","GUSTAVO A. MADERO","BENITO JUAREZ","05-011",19,19,19,19,23,23,24
"590","GUSTAVO A. MADERO","CERRO PRIETO","05-023",35,35,31,28,26,24,21
"591","GUSTAVO A. MADERO","GERTRUDIS SANCHEZ 1A SECCION","05-066",20,23,22,24,25,28,27
"592","IZTAPALAPA","EJTO CONSTITUCIONALISTA","07-044",31,36,35,30,37,43,42
"593","IZTAPALAPA","EJTO CONSTITUCIONALISTA II ( U HAB)","07-045",41,43,49,47,56,55,58
"594","IZTAPALAPA","GRANJAS ESTRELLA I","07-083",22,22,22,25,28,27,27
"595","ALVARO OBREGON","EL PARAISO","10-063",28,26,24,25,20,17,17
"596","ALVARO OBREGON","SANTA MARIA NONOALCO","10-203",39,38,41,40,35,33,30
"597","TLAHUAC","LA HABANA","11-016",35,33,30,33,34,37,36
"598","TLALPAN","SAN NICOLAS II","12-158",22,22,20,26,27,27,23
"599","BENITO JUAREZ","LETRAN VALLE","14-021",25,25,28,29,32,34,32
"600","BENITO JUAREZ","POSTAL","14-039",NA,NA,NA,NA,NA,NA,NA
"601","BENITO JUAREZ","NARVARTE III","14-062",13,14,14,13,18,18,18
"602","CUAUHTEMOC","PAULINO NAVARRO","15-022",24,23,23,28,25,24,22
"603","MIGUEL HIDALGO","POPOTLA I","16-092",30,34,31,30,29,26,27
"604","VENUSTIANO CARRANZA","MAGDALENA  MIXHUCA","17-036",21,21,14,13,14,17,17
"605","VENUSTIANO CARRANZA","MERCED BALBUENA","17-038",23,24,20,18,18,18,17
"606","AZCAPOTZALCO","CENTRO DE AZCAPOTZALCO","02-007",48,45,44,41,43,46,45
"607","AZCAPOTZALCO","COLTONGO","02-009",NA,NA,6,8,10,10,15
"608","AZCAPOTZALCO","INDUSTRIAL VALLEJO (U HAB)","02-036",6,9,12,15,14,18,18
"609","GUSTAVO A. MADERO","LA LAGUNA TICOMAN (BARR)","05-104",22,26,25,23,25,27,26
"610","GUSTAVO A. MADERO","NUEVA ATZACOALCO I","05-229",44,55,55,57,55,52,48
"611","IZTAPALAPA","CULHUACAN (PBLO)","07-037",30,29,35,35,34,34,34
"612","IZTAPALAPA","CONSEJO AGRARISTA MEXICANO II","07-265",49,52,45,46,46,47,39
"613","IZTAPALAPA","JUAN ESCUTIA II","07-278",16,20,21,21,18,22,23
